Country,Trials,Trial Phase,Diseases,Institution
Nigeria,All Clinical Trials,Phase-3,Cancer,Lagos University Teaching Hospital; Lagos State University Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Circulatory System,General hospital ogbomoso
Nigeria,All Clinical Trials,Phase-2,Circulatory System,St Mary Catholic church Enugu; St Joseph Catholic church Emene
Nigeria,All Clinical Trials,Phase-4,Digestive System,Lagos University Teaching Hospital
Nigeria,All Clinical Trials,Phase-4,Endocrine,Federal Medical Centre
Nigeria,All Clinical Trials,Phase-2,Endocrine,Aroh Medical Clinic Ukehe
Nigeria,All Clinical Trials,Phase-3,Endocrine,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-3,Endocrine,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,Infant Clinical Trials,Phase-4,Endocrine,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,Infant Clinical Trials,Phase-3,Endocrine,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,All Clinical Trials,Phase-4,Endocrine,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,All Clinical Trials,Phase-4,Eye,Lagos State University Teaching Hospital Eye clinic
Nigeria,All Clinical Trials,Phase-3,Genetic,Strathmore University; Lagos University Teaching Hospital Haematology; Barau Dikko Teaching Hospital Kaduna State University; University of Nigeria; KEMRI CRDR; Haematology and Blood Transfusion Unit Department of Human Pathology; KEMRI CCR Butere County Hospital; Aminu Kano Teaching Hospital; University of Abuja; University of Calabar Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Genetic,Aminu Kano Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Nnamdi Azikiwe Uiversity Teaching Hospital Nnewi; University Of Nigeria Teaching Hospital; Parklane Hospital
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,Murtala Mohammed Specialist Hospital Kano; Aminu Kano Teaching Hospital Kano
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,Lagos University Teaching Hospital; Department of Paediatrics University of Calabar Teaching Hospital; University of Abuja Teaching Hospital; Nigeria Teaching Hospital; NIMR Tanga Centre; National Institute for Medical Research Mbeya Medical Research Center NIMR MMRC; KorleBu Teaching Hospital Child Health ; Kintampo Health Research Center ; Navrongo Health Research Center ; University of Health and Allied Sciences ; Joint Clinical Research Centre; Getrudes Childrens Hospital; KEMRI Siaya Clinical Research Annexe; KEMRI  Centre for Respiratory Disease Research; KEMRI Kondele Centre for Clinical Research; KEMRI Kombewa Kombewa Clinical Research Centre; CREATES Strathmore University Medical Centre Centre for Research in Therapeutic Sciences
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,University of Nigeria Teaching Hospital
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Aminu Kano Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Lagos University Teaching Hospital; Aminu Kano Teaching Hospital ; University of Ibadan University College Hospital ; Kenya Medical Research Institute ; KEMRI CRDR SIAYA SITE ; Center for Research in Therapeutic Sciences Strathmore University Medical Centre; Gertrudes Childrens Hospital ; Tororo General Hospital Infectious Disease Research Collaboration; Makerere University College of Health Sciences; Mbale Regional Refferal Hospital Mbale Clinical Research Institute
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,University of Nigeria Teaching Hospital; Lagos University Teaching Hospital ; University College Hospital; Aminu Kano Teaching Hospital; Barau Dikko Teaching Hospital Kaduna State University; Komfo Anokye Teaching Hospital; University of Ghana Medical School College of Health Sciences Korle Bu Teaching Hospital; Gertrudes Childrens Hospital; University of Calabar Teaching Hospital; Centre of Excellence for Sickle Cell Research and Training University of Abuja; Center for Research In Therapeutic Sciences CREATES Strathmore University Medical Centre; Kenya Medical Research Institute KEMRI Centre for Respiratory Disease Research CRDR; Kenya Medical Research Institute KEMRI Kondele Childrens Hospital; Kenya Medical Research Institute KEMRI CRDR Siaya Clinical Research Annex; KEMRI Centre for Clinical Research Butere County Hospital
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Aminu Kanu Teaching Hospital; Lagos University Teaching Hospital; The University of Ibadan University College Hospital 
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Chukwuemeka Odumegwu Ojukwu University Teaching Hospital
Nigeria,Infant Clinical Trials,Phase-3,Haematological Disorders,Lagos University Teaching Hospital; Department of Paediatrics University of Calabar Teaching Hospital; University of Abuja Teaching Hospital; Nigeria Teaching Hospital; NIMR Tanga Centre; National Institute for Medical Research Mbeya Medical Research Center NIMR MMRC; KorleBu Teaching Hospital Child Health ; Kintampo Health Research Center ; Navrongo Health Research Center ; University of Health and Allied Sciences ; Joint Clinical Research Centre; Getrudes Childrens Hospital; KEMRI Siaya Clinical Research Annexe; KEMRI  Centre for Respiratory Disease Research; KEMRI Kondele Centre for Clinical Research; KEMRI Kombewa Kombewa Clinical Research Centre; CREATES Strathmore University Medical Centre Centre for Research in Therapeutic Sciences
Nigeria,Infant Clinical Trials,Phase-3,Haematological Disorders,University of Nigeria Teaching Hospital; Lagos University Teaching Hospital ; University College Hospital; Aminu Kano Teaching Hospital; Barau Dikko Teaching Hospital Kaduna State University; Komfo Anokye Teaching Hospital; University of Ghana Medical School College of Health Sciences Korle Bu Teaching Hospital; Gertrudes Childrens Hospital; University of Calabar Teaching Hospital; Centre of Excellence for Sickle Cell Research and Training University of Abuja; Center for Research In Therapeutic Sciences CREATES Strathmore University Medical Centre; Kenya Medical Research Institute KEMRI Centre for Respiratory Disease Research CRDR; Kenya Medical Research Institute KEMRI Kondele Childrens Hospital; Kenya Medical Research Institute KEMRI CRDR Siaya Clinical Research Annex; KEMRI Centre for Clinical Research Butere County Hospital
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,Lagos University Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,Nnamdi Azikiwe Uiversity Teaching Hospital Nnewi; University Of Nigeria Teaching Hospital; Parklane Hospital
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,Irrua Specialist Teaching Hospital; Federal Medical Centre Owo
Nigeria,All Clinical Trials,Phase-1,Infections and Infestations,Medical Centre Akanu Ibiam Federal Polytechnic Unwana Afikpo
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,Adeoyo State Hospital
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,Mainland Hospital; Onikan Stadium Isolation Centre; EtiOsa Landmark Isolation Centre; Lekki Isolation Centre; General Hospital Gbagada; Lagos State University Teaching Hospital
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,University of Abuja Teaching Hospital 
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,Mainland Hospital; EtiOsa Isolation Centre; Onikan Isolation Centre; General Hospital Gbagada; Lagos University Teaching Hospital; Lekki Isolation Centre
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,Mainland Hospital Yaba
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,Jos University Teaching Hospital; Plateau State Specialist Hospital
Nigeria,All Clinical Trials,Phase-1,Infections and Infestations,General Hospital Ifako Ijaiye MCC
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,Mainland Hospital ; Federal Medical Centre
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,LAGOS UNIVERSITY TEACHING HOSPITAL; MUSHIN COMMUNITY
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,Mainland Infectious Disease Hospital Yaba
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,Adamawa State secondary schools
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,University of Abuja Teaching Hospital
Nigeria,All Clinical Trials,Phase-4,Infections and Infestations,Institute of Medical Research and Training.
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,The General Outpatient Department of the Obafemi Awolowo University teaching Hospitals Complex
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,Nigerian Institute of Medical Research ; National Pharmaceutical Research and Development ; Delta State University Teaching Hospital; Nnamdi Azikiwe University Teaching Hospital; Aminu Kano University Teaching Hospital 
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,UCH APIN adolescent clinic
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,John F Kennedy Medical Center ; Walter Reed Program ; Kenema Government Hospital
Nigeria,All Clinical Trials,Phase-3,Infections and Infestations,University of Nigeria Teaching Hospital; Lagos University Teaching Hospital ; University College Hospital; Aminu Kano Teaching Hospital; Barau Dikko Teaching Hospital Kaduna State University; Komfo Anokye Teaching Hospital; University of Ghana Medical School College of Health Sciences Korle Bu Teaching Hospital; Gertrudes Childrens Hospital; University of Calabar Teaching Hospital; Centre of Excellence for Sickle Cell Research and Training University of Abuja; Center for Research In Therapeutic Sciences CREATES Strathmore University Medical Centre; Kenya Medical Research Institute KEMRI Centre for Respiratory Disease Research CRDR; Kenya Medical Research Institute KEMRI Kondele Childrens Hospital; Kenya Medical Research Institute KEMRI CRDR Siaya Clinical Research Annex; KEMRI Centre for Clinical Research Butere County Hospital
Nigeria,Infant Clinical Trials,Phase-2,Infections and Infestations,Jos University Teaching Hospital; Plateau State Specialist Hospital
Nigeria,Infant Clinical Trials,Phase-4,Infections and Infestations,Institute of Medical Research and Training.
Nigeria,Infant Clinical Trials,Phase-2,Infections and Infestations,John F Kennedy Medical Center ; Walter Reed Program ; Kenema Government Hospital
Nigeria,Infant Clinical Trials,Phase-3,Infections and Infestations,University of Nigeria Teaching Hospital; Lagos University Teaching Hospital ; University College Hospital; Aminu Kano Teaching Hospital; Barau Dikko Teaching Hospital Kaduna State University; Komfo Anokye Teaching Hospital; University of Ghana Medical School College of Health Sciences Korle Bu Teaching Hospital; Gertrudes Childrens Hospital; University of Calabar Teaching Hospital; Centre of Excellence for Sickle Cell Research and Training University of Abuja; Center for Research In Therapeutic Sciences CREATES Strathmore University Medical Centre; Kenya Medical Research Institute KEMRI Centre for Respiratory Disease Research CRDR; Kenya Medical Research Institute KEMRI Kondele Childrens Hospital; Kenya Medical Research Institute KEMRI CRDR Siaya Clinical Research Annex; KEMRI Centre for Clinical Research Butere County Hospital
Nigeria,All Clinical Trials,Phase-2,Infections and Infestations,Infectious Disease Hospital; COVID19 Isolation and Treatment Centre; State Specialist Hospital
Nigeria,All Clinical Trials,Phase-4,Injury,Snakebite Research and Treatment Hospital
Nigeria,Infant Clinical Trials,Phase-4,Injury,Snakebite Research and Treatment Hospital
Nigeria,All Clinical Trials,Phase-2,Kidney Disease,Delta state university teaching hospital
Nigeria,All Clinical Trials,Phase-4,Kidney Disease,University of Nigerian Teaching Hospital; University College Hospital Ibadan; University of Uyo Teaching Hospital; Rivers State University Teaching Hospital
Nigeria,Infant Clinical Trials,Phase-4,Kidney Disease,University of Nigerian Teaching Hospital; University College Hospital Ibadan; University of Uyo Teaching Hospital; Rivers State University Teaching Hospital
Nigeria,All Clinical Trials,Phase-1,Mental and Behavioural Disorders,Usman Danfodio Uninersity Teaching Hospital Sokoto; Federal Neuropsychiatry Hospita Kware Sokoto Nigeria
Nigeria,All Clinical Trials,Phase-3,Mental and Behavioural Disorders,FEDERAL MEDICAL CENTER NGURU
Nigeria,All Clinical Trials,Phase-1,Mental and Behavioural Disorders,Akure secondary commercial high school; Adu memorial high school.
Nigeria,All Clinical Trials,Phase-2,Mental and Behavioural Disorders,Government secondary school 
Nigeria,All Clinical Trials,Phase-2,Mental and Behavioural Disorders,St Mary Catholic church Enugu; St Joseph Catholic church Emene
Nigeria,All Clinical Trials,Phase-2,Mental and Behavioural Disorders,federal neuropsychiatric hospital  Yaba
Nigeria,All Clinical Trials,Phase-4,Metabolic,Federal Medical Centre
Nigeria,All Clinical Trials,Phase-2,Metabolic,Aroh Medical Clinic Ukehe
Nigeria,All Clinical Trials,Phase-3,Metabolic,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-3,Metabolic,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,Infant Clinical Trials,Phase-4,Metabolic,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,Infant Clinical Trials,Phase-3,Metabolic,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,All Clinical Trials,Phase-4,Metabolic,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,FEDERAL MEDICAL CENTER NGURU; Murtala Muhammad specialist Hospital 
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,FEDERAL MEDICAL CENTER NGURU YOBE STATE
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,RASHEED SHEKONI SPECIALIST HOSPITAL
Nigeria,All Clinical Trials,Phase-1,Musculoskeletal,Orthopaedic Outpatient Physiotherapy Department of Lagos University Teaching Hospital; Orthopaedic Outpatient Physiotherapy Department of National Orthopaedic Hospital Igbobi; Orthopaedic Outpatient Physiotherapy Department of General Hospital Gbagada
Nigeria,All Clinical Trials,Phase-1,Musculoskeletal,COLLEGE OF MEDICINE UNIVERSITY OF LAGOS
Nigeria,All Clinical Trials,Phase-2,Musculoskeletal,Sport Centre University of Lagos; Lagos University Teaching Hospital; National Stadium; Itedo Playing Ground; Yaba College of Technology Sport Centre; Bishop Age Playing field
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,FEDERAL MEDICAL CENTER NGURU
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,FEDERAL MEDICAL CENTER NGURU
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,FEDERAL MEDICAL CENTER NGURU
Nigeria,All Clinical Trials,Phase-1,Musculoskeletal,College of Medicine University of Lagos 
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,FEDERAL MEDICAL CENTER NGURU
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,FEDERAL MEDICAL CENTER NGURU
Nigeria,All Clinical Trials,Phase-2,Musculoskeletal,General hospital ogbomoso
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,Federal Medical Centre Nguru
Nigeria,All Clinical Trials,Phase-4,Musculoskeletal,Federal Medical Centre Nguru
Nigeria,All Clinical Trials,Phase-2,Musculoskeletal,Government secondary school 
Nigeria,All Clinical Trials,Phase-1,Musculoskeletal,Aminu Kano Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Musculoskeletal,St Mary Catholic church Enugu; St Joseph Catholic church Emene
Nigeria,All Clinical Trials,Phase-3,Musculoskeletal,National Orthopedic hospital Lagos.
Nigeria,All Clinical Trials,Phase-3,Nervous System,FEDERAL MEDICAL CENTER NGURU
Nigeria,All Clinical Trials,Phase-3,Nervous System,Uniosun Teaching Hospital 
Nigeria,All Clinical Trials,Phase-4,Nutritional,Federal Medical Centre
Nigeria,All Clinical Trials,Phase-2,Nutritional,Aroh Medical Clinic Ukehe
Nigeria,All Clinical Trials,Phase-3,Nutritional,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-3,Nutritional,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,Infant Clinical Trials,Phase-4,Nutritional,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,Infant Clinical Trials,Phase-3,Nutritional,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,All Clinical Trials,Phase-4,Nutritional,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,All Clinical Trials,Phase-2,Obstetrics and Gynecology,Nnamdi Azikiwe Uiversity Teaching Hospital Nnewi; University Of Nigeria Teaching Hospital; Parklane Hospital
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,Alex Ekwueme Federal University Teaching Hospital Abakaliki 
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,University of Nigeria Teaching Hospital
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-4,Obstetrics and Gynecology,UNIVERSITY OF PORT HARCOURT TEACHING HOSPITAL
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,Babcock University Teaching Hospital; Federal Medical Centre Abeokuta; Olabisi Onabanjo University Teaching Hospital Sagamu
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,University of Nigeria Teaching Hospital; ESUT Teaching Hospital; Alex Ekwueme Federal Unisversity Teaching Hospital; Bishop Shanahan Hospital
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,University of Nigeria Teaching Hospital ; Enugu State University of Science and technology Teaching Hospital 
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,AMINU KANO TEACHING HOSPITAL
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,Fertility unit of Federal Medical Centre Abuja Nigeria
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,University of Nigeria Teaching Hospital; ESUT Teaching Hospital; Annunciation Specialist Hospital
Nigeria,All Clinical Trials,Phase-3,Obstetrics and Gynecology,University of Uyo teaching hospital 
Nigeria,All Clinical Trials,Phase-1,Obstetrics and Gynecology,FEDERAL TEACHING HOSPITAL KATSINA.
Nigeria,All Clinical Trials,Phase-4,Occupational,Snakebite Research and Treatment Hospital
Nigeria,Infant Clinical Trials,Phase-4,Occupational,Snakebite Research and Treatment Hospital
Nigeria,All Clinical Trials,Phase-3,Oral Health,Valentina Montessori Nursery and Primary School; Abimbola Gibson Memorial Primary School; Ambrose Nursery and Primary School; Doseg Nursery and Primary School ; Ajao Estate Primary School; Tender Lilies Star Montessori School; Ronnie Carrie School; Redwood Academy
Nigeria,All Clinical Trials,Phase-4,Oral Health,University of Benin Teaching Hospital
Nigeria,All Clinical Trials,Phase-4,Oral Health,Orthodontic clinic University of Benin Teaching Hospital
Nigeria,All Clinical Trials,Phase-3,Oral Health,Lagos University Teaching Hospital
Nigeria,All Clinical Trials,Phase-4,Oral Health,UNIVERSITY OF BENIN TEACHING HOSPITAL
Nigeria,All Clinical Trials,Phase-4,Oral Health,Universtity of Benin Teaching Hospital
Nigeria,Infant Clinical Trials,Phase-3,Oral Health,Valentina Montessori Nursery and Primary School; Abimbola Gibson Memorial Primary School; Ambrose Nursery and Primary School; Doseg Nursery and Primary School ; Ajao Estate Primary School; Tender Lilies Star Montessori School; Ronnie Carrie School; Redwood Academy
Nigeria,All Clinical Trials,Phase-1,Orthopaedics,Lagos university Teaching Hospital  LUTH 
Nigeria,All Clinical Trials,Phase-4,Other,Lagos University Teaching Hospital
Nigeria,All Clinical Trials,Phase-3,Other,Obanliku; Ogoja; Yala; Yakurr; Calabar South; Ikom; Bekwara; Bakassi; Obudu; Boki; Odukpani; Akampka; Akpabuyo Local Government Area; Obubra; Abi; Biase; Calabar Municipality; Etung
Nigeria,All Clinical Trials,Phase-3,Other,HICI Healthcare Limited; Nigerian Institute of Medical Research NIMR; Center for Bioethics and Research
Nigeria,All Clinical Trials,Phase-1,Other,Jos University Teaching Hospital Comprehensive Health Centre; Snakebite Treatment Hospital and Research Centre; Snakebite Treatment Hospital and Research Centre
Nigeria,All Clinical Trials,Phase-4,Other,Federal Medical Centre Bida Nigeria.
Nigeria,All Clinical Trials,Phase-3,Paediatrics,Strathmore University; Lagos University Teaching Hospital Haematology; Barau Dikko Teaching Hospital Kaduna State University; University of Nigeria; KEMRI CRDR; Haematology and Blood Transfusion Unit Department of Human Pathology; KEMRI CCR Butere County Hospital; Aminu Kano Teaching Hospital; University of Abuja; University of Calabar Teaching Hospital
Nigeria,All Clinical Trials,Phase-4,Paediatrics,University of Nigerian Teaching Hospital; University College Hospital Ibadan; University of Uyo Teaching Hospital; Rivers State University Teaching Hospital
Nigeria,All Clinical Trials,Phase-3,Paediatrics,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,All Clinical Trials,Phase-3,Paediatrics,University of Nigeria Teaching Hospital; Lagos University Teaching Hospital ; University College Hospital; Aminu Kano Teaching Hospital; Barau Dikko Teaching Hospital Kaduna State University; Komfo Anokye Teaching Hospital; University of Ghana Medical School College of Health Sciences Korle Bu Teaching Hospital; Gertrudes Childrens Hospital; University of Calabar Teaching Hospital; Centre of Excellence for Sickle Cell Research and Training University of Abuja; Center for Research In Therapeutic Sciences CREATES Strathmore University Medical Centre; Kenya Medical Research Institute KEMRI Centre for Respiratory Disease Research CRDR; Kenya Medical Research Institute KEMRI Kondele Childrens Hospital; Kenya Medical Research Institute KEMRI CRDR Siaya Clinical Research Annex; KEMRI Centre for Clinical Research Butere County Hospital
Nigeria,Infant Clinical Trials,Phase-0,Paediatrics,OBAFEMI AWOLOWO UNIVERSITY TEACHING HOSPITALS COMPLEX
Nigeria,Infant Clinical Trials,Phase-4,Paediatrics,University of Nigerian Teaching Hospital; University College Hospital Ibadan; University of Uyo Teaching Hospital; Rivers State University Teaching Hospital
Nigeria,Infant Clinical Trials,Phase-3,Paediatrics,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,Infant Clinical Trials,Phase-3,Paediatrics,University of Nigeria Teaching Hospital; Lagos University Teaching Hospital ; University College Hospital; Aminu Kano Teaching Hospital; Barau Dikko Teaching Hospital Kaduna State University; Komfo Anokye Teaching Hospital; University of Ghana Medical School College of Health Sciences Korle Bu Teaching Hospital; Gertrudes Childrens Hospital; University of Calabar Teaching Hospital; Centre of Excellence for Sickle Cell Research and Training University of Abuja; Center for Research In Therapeutic Sciences CREATES Strathmore University Medical Centre; Kenya Medical Research Institute KEMRI Centre for Respiratory Disease Research CRDR; Kenya Medical Research Institute KEMRI Kondele Childrens Hospital; Kenya Medical Research Institute KEMRI CRDR Siaya Clinical Research Annex; KEMRI Centre for Clinical Research Butere County Hospital
Nigeria,All Clinical Trials,Phase-4,Poisoning,Snakebite Research and Treatment Hospital
Nigeria,Infant Clinical Trials,Phase-4,Poisoning,Snakebite Research and Treatment Hospital
Nigeria,All Clinical Trials,Phase-3,Pregnancy and Childbirth,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-3,Pregnancy and Childbirth,Lagos University Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Pregnancy and Childbirth,Nnamdi Azikiwe Uiversity Teaching Hospital Nnewi; University Of Nigeria Teaching Hospital; Parklane Hospital
Nigeria,All Clinical Trials,Phase-3,Pregnancy and Childbirth,University of Nigeria Teaching Hospital ; Enugu State University of Science and technology Teaching Hospital 
Nigeria,All Clinical Trials,Phase-1,Pregnancy and Childbirth,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL MAIDUGURIBAMA BORNO STATE NIGERIA.
Nigeria,All Clinical Trials,Phase-3,Pregnancy and Childbirth,FEDERAL MEDICAL CENTRE KEFFI NASARAWA STATE
Nigeria,All Clinical Trials,Phase-4,Pregnancy and Childbirth,Benue State University Teaching Hospital Makurdi Nigeria
Nigeria,Infant Clinical Trials,Phase-4,Pregnancy and Childbirth,Benue State University Teaching Hospital Makurdi Nigeria
Nigeria,All Clinical Trials,Phase-2,Respiratory,Infectious Disease Hospital; COVID19 Isolation and Treatment Centre; State Specialist Hospital
Nigeria,All Clinical Trials,Phase-4,Respiratory,Murtala Mohammed specialist hospital kano
Nigeria,All Clinical Trials,Phase-2,Respiratory,St Mary Catholic church Enugu; St Joseph Catholic church Emene
Nigeria,All Clinical Trials,Phase-3,Respiratory,University of Calabar Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Skin and Connective Tissue,University College Hospital
